	title	author	filename	genre	sources
400	Claus Störtebecker	Georg Engel	Engel_ClausStörtebecker_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/engel/stoerteb/stoerteb.html
401	Der verbotene Rausch	Georg Engel	Engel_DerverboteneRausch_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/engel/verboten/verboten.html
402	Die Last	Georg Engel	Engel_DieLast_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/engel/last/last.html
403	Hann Klüth	Georg Engel	Engel_HannKlüth_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/engel/hannklue/hannklue.html
404	Der Dieb	Georg Heym	Heym_DerDieb_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/heym/dieb/dieb.html
405	Eine Fratze	Georg Heym	Heym_EineFratze_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heym/fratze/fratze.html
406	Der Kapuziner	Georg Queri	Queri_DerKapuziner_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/queri/kapuzine/kapuzine.html
407	Aus großen Höhen	Georg von Ompteda	Ompteda_AusgroßenHöhen_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/ompteda/ausgross/ausgross.html
408	Denise de Montmidi	Georg von Ompteda	Ompteda_DenisedeMontmidi_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/ompteda/denise/denise.html
409	Die Tafelrunde	Georg von Ompteda	Ompteda_DieTafelrunde_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/ompteda/tafelrun/tafelrun.html
410	Ernst III.	Georg von Ompteda	Ompteda_ErnstIII_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/ompteda/ernst3/ernst3.html
411	Margret und Ossana	Georg von Ompteda	Ompteda_MargretundOssana_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/ompteda/margreto/margreto.html
412	Maria da Caza	Georg von Ompteda	Ompteda_MariadaCaza_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/ompteda/maria/maria.html
413	Fräulein Fifi	Georg von Ompteda	Ompteda_FräuleinFifi_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/fifi/fifi.html
414	Die Schwestern Rondoli	Georg von Ompteda	Ompteda_DieSchwesternRondoli_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/rondoli/rondoli.html
